timestamp,temp,humidity,light,wind_speed,forecast_rain,forecast_rain_d0,forecast_rain_d1,forecast_rain_d2,soil_moist_shallow,soil_moist_deep,soil_moist_avg,soil_moist_diff,soil_moist_ratio,soil_moist_trend_1h,eto,etc,kc,depletion,depletion_ratio,depletion_shallow,depletion_deep,taw,raw,soil_moist_deficit,temp_x_humidity,solar_x_temp,soil_x_depletion,growth_stage,crop_type,soil_type,actual_irrigation_mm_next_24h,depletion_after_24h
2025-01-01 00:00:00,22.3,69.1,12.0,1.4,0.6,0.6,0.4,0.0,50.6,53.5,52.1,-2.9,0.95,0.67,0.0185,0.0102,0.55,0.01,0.0,0.0,0.01,120,60.0,0,1540.9,0.27,0.0,initial,rice,loam,0.0,3.26
2025-01-01 01:00:00,23.3,64.0,36.0,1.7,0.8,1.0,0.6,0.0,48.8,50.5,49.6,-1.6,0.97,-0.88,0.0278,0.0153,0.55,0.03,0.0,0.01,0.02,120,60.0,0,1491.2,0.84,0.0,initial,rice,loam,0.0,3.29
2025-01-01 02:00:00,25.6,61.0,2.0,2.3,0.5,0.2,0.9,0.0,48.3,54.7,51.5,-6.4,0.88,-0.88,0.0438,0.0241,0.55,0.05,0.0,0.02,0.03,120,60.0,0,1561.6,0.05,0.01,initial,rice,loam,0.0,3.29
2025-01-01 03:00:00,28.5,58.4,12.0,3.2,0.5,0.6,0.9,0.0,50.6,53.3,52.0,-2.7,0.95,1.7,0.02,0.011,0.55,0.06,0.0,0.02,0.04,120,60.0,0,1664.4,0.34,0.02,initial,rice,loam,0.0,3.31
2025-01-01 04:00:00,27.6,62.8,2.0,1.4,1.3,0.8,0.4,0.0,42.6,55,48.8,-12.4,0.78,-1.31,0.0032,0.0018,0.55,0.06,0.001,0.02,0.04,120,60.0,0,1733.3,0.06,0.02,initial,rice,loam,0.0,3.31
2025-01-01 05:00:00,28.7,72.5,36.0,3.7,1.1,0.3,0.6,0.0,49.6,50.0,49.8,-0.3,0.99,0.22,0.0056,0.0031,0.55,0.07,0.001,0.03,0.04,120,60.0,0,2080.8,1.03,0.03,initial,rice,loam,0.0,3.32
2025-01-01 06:00:00,32.6,66.0,-50.0,1.7,1.8,0.9,0.3,0.0,47.3,49.9,48.6,-2.5,0.95,0.49,0.355,0.1953,0.55,0.26,0.001,0.1,0.16,120,60.0,0,2151.6,-1.63,0.03,initial,rice,loam,0.0,3.46
2025-01-01 07:00:00,32.8,60.3,13121.0,3.1,0.0,0.3,0.0,0.0,47.3,52.8,50.0,-5.5,0.9,-0.37,0.4566,0.2511,0.55,0.51,0.002,0.2,0.31,120,60.0,0,1977.8,430.37,0.11,initial,rice,loam,0.0,3.59
2025-01-01 08:00:00,34.2,71.3,26867.0,2.9,0.1,0.8,0.8,0.0,52.2,53.5,52.9,-1.3,0.98,-0.37,0.4716,0.2594,0.55,0.77,0.004,0.31,0.46,120,60.0,0,2438.5,918.85,0.23,initial,rice,loam,0.0,3.82
2025-01-01 09:00:00,32.3,62.8,39623.0,1.8,1.1,0.7,0.2,0.0,55,50.5,52.8,4.5,1.09,-0.43,0.4815,0.2648,0.55,1.04,0.006,0.41,0.62,120,60.0,0,2028.4,1279.82,0.34,initial,rice,loam,0.0,1.4
2025-01-01 10:00:00,32.5,58.7,53405.0,3.4,0.5,0.2,0.1,0.0,48.2,50.7,49.5,-2.5,0.95,0.82,0.5,0.275,0.55,1.31,0.009,0.52,0.79,120,60.0,0,1907.8,1735.66,0.43,initial,rice,loam,0.0,1.63
2025-01-01 11:00:00,32.2,62.6,66825.0,3.7,0.4,0.1,0.9,0.0,48.2,52.5,50.3,-4.3,0.92,-0.89,0.5,0.275,0.55,1.59,0.011,0.63,0.95,120,60.0,0,2015.7,2151.77,0.55,initial,rice,loam,0.0,0.8
2025-01-01 12:00:00,34.0,59.9,79524.0,2.9,1.5,0.7,1.0,0.0,52.0,52.8,52.4,-0.8,0.99,-0.53,0.5,0.275,0.55,1.86,0.013,0.74,1.12,120,60.0,0,2036.6,2703.82,0.69,initial,rice,loam,0.0,1.04
2025-01-01 13:00:00,36.0,56.2,66991.0,2.8,0.8,0.3,0.2,0.0,48.0,53.2,50.6,-5.2,0.9,-0.48,0.5,0.275,0.55,2.14,0.016,0.85,1.28,120,60.0,0,2023.2,2411.68,0.78,initial,rice,loam,0.0,0.0
